Year,Month,Time,Sales,logSales,c348,s348,c432,s432
1997,11,71,31032,10.342774209,-0.260841506,-0.965381639,-0.470703932,-0.882291226
1997,12,72,32989,10.403929452,0.9387338577,0.3446429232,0.7939903986,0.6079302977
1998,1,73,30679,10.33133366,-0.823532598,0.5672689491,-0.974526873,-0.224270761
1998,2,74,27947,10.238065138,0.0125660399,-0.999921044,0.9798550524,-0.199709981
1998,3,75,30501,10.325514749,0.8090169944,0.5877852523,-0.809016994,0.5877852523
1998,4,76,30826,10.336113769,-0.947098305,0.3209436098,0.4927273415,-0.870183755
1998,5,77,32456,10.387640605,0.2850192625,-0.958521789,-0.087851197,0.9961336091
1998,6,78,31215,10.348654027,0.6178596131,0.7862884321,-0.332819545,-0.942990536
1998,7,79,33067,10.406291085,-0.998736957,0.0502443182,0.6936533058,0.7203090249
1998,8,80,32220,10.380342657,0.535826795,-0.844327926,-0.929776486,-0.368124553
1998,9,81,31005,10.341903761,0.3797790955,0.9250772068,0.9987369566,-0.050244318
1998,10,82,32214,10.38015642,-0.974526873,-0.224270761,-0.888136449,0.4595798606
1998,11,83,31377,10.353830419,0.7459411454,-0.666011867,0.6178596131,-0.786288432
1998,12,84,34681,10.453947266,0.1128563849,0.9936113105,-0.236498997,0.9716317329
1999,1,85,31516,10.358250632,-0.87630668,-0.481753674,-0.187381315,-0.982287251
1999,2,86,29413,10.289192032,0.8994052516,-0.437115767,0.5775727034,0.8163392507
1999,3,87,32451,10.387486538,-0.162637165,0.9866859442,-0.863923417,-0.503623202
1999,4,88,31948,10.37186486,-0.711535677,-0.70264997,0.994951017,0.1003617149
1999,5,89,33727,10.426053983,0.9845643345,-0.175023059,-0.947098305,0.3209436098
1999,6,90,32568,10.39108549,-0.425779292,0.9048270525,0.7289686274,-0.684547106
1999,7,91,34568,10.450683678,-0.492727342,-0.870183755,-0.379779096,0.9250772068
1999,8,92,32944,10.402564429,0.994951017,0.1003617149,-0.037690183,-0.999289473
1999,9,93,32624,10.392803493,-0.656585756,0.7542513807,0.4483832161,0.8938414242
1999,10,94,32935,10.402291201,-0.236498997,-0.971631733,-0.778462302,-0.627691361
1999,11,95,32510,10.389303013,0.9297764859,0.3681245527,0.9685831611,0.2486898872
1999,12,96,37046,10.519915663,-0.83752804,0.5463943467,-0.984564335,0.175023059
2000,1,97,31336,10.352522875,0.0376901827,-0.999289473,0.8235325976,-0.567268949
2000,2,98,30515,10.325973645,0.7939903986,0.6079302977,-0.514439534,0.8575266562
2000,3,99,33216,10.410786967,-0.954864545,0.2970415816,0.1128563849,-0.993611311
2000,4,100,33004,10.404384045,0.3090169944,-0.951056516,0.3090169944,0.9510565163
2000,5,101,34085,10.436612684,0.5979049831,0.8015669849,-0.675332808,-0.737513117
2000,6,102,33880,10.430580149,-0.999684189,0.0251300954,0.9202318474,0.3913736668
2000,7,103,34517,10.449207235,0.5568756165,-0.830595899,-0.999684189,0.0251300954
2000,8,104,34225,10.44071165,0.3564118787,0.9343289425,0.8994052516,-0.437115767
2000,9,105,33324,10.414033137,-0.968583161,-0.248689887,-0.63742399,0.7705132428
2000,10,106,33190,10.410003905,0.762442511,-0.647055962,0.2608415063,-0.965381639
2000,11,107,33969,10.433203623,0.0878511966,0.9961336091,0.1626371652,0.9866859442
2000,12,108,37254,10.525514601,-0.863923417,-0.503623202,-0.556875616,-0.830595899
2001,1,109,33236,10.411388905,0.9101059707,-0.414375581,0.8509944818,0.52517463
2001,2,110,31488,10.3573618,-0.187381315,0.9822872507,-0.992114701,-0.125333234
2001,3,111,34856,10.458980568,-0.693653306,-0.720309025,0.9548645447,-0.297041582
2001,4,112,33685,10.424807913,0.9886517447,-0.150225589,-0.745941145,0.6660118674
2001,5,113,36068,10.493161325,-0.448383216,0.8938414242,0.4029064357,-0.915241173
2001,6,114,35215,10.469227407,-0.470703932,-0.882291226,0.0125660399,0.9999210442
2001,7,115,35418,10.474975444,0.9921147013,0.1253332336,-0.425779292,-0.904827052
2001,8,116,35919,10.489021682,-0.675332808,0.7375131174,0.762442511,0.6470559616
2001,9,117,34379,10.445201192,-0.21200711,-0.977268124,-0.962027672,-0.272951936
2001,10,118,34847,10.458722329,0.9202318474,0.3913736668,0.9886517447,-0.150225589
2001,11,119,35308,10.471864846,-0.850994482,0.52517463,-0.83752804,0.5463943467
2001,12,120,37708,10.537627553,0.0627905195,-0.998026728,0.535826795,-0.844327926
2002,1,121,34533,10.449670668,0.7784623016,0.6276913613,-0.137790291,0.9904614257
2002,2,122,32024,10.374240901,-0.962027672,0.2729519355,-0.285019262,-0.958521789
2002,3,123,35863,10.487461402,0.3328195445,-0.942990536,0.6565857558,0.7542513807
2002,4,124,33190,10.410003905,0.5775727034,0.8163392507,-0.910105971,-0.414375581
2002,5,125,36478,10.504464618,-1,2.8418e-14,1,-2.7437e-14
2002,6,126,34933,10.46118722,0.5775727034,-0.816339251,-0.910105971,0.414375581
2002,7,127,35885,10.48807466,0.3328195445,0.9429905359,0.6565857558,-0.754251381
2002,8,128,36025,10.491968421,-0.962027672,-0.272951936,-0.285019262,0.958521789
2002,9,129,33610,10.422578921,0.7784623016,-0.627691361,-0.137790291,-0.990461426
2002,10,130,34885,10.459812216,0.0627905195,0.9980267284,0.535826795,0.8443279255
2002,11,131,35649,10.481476375,-0.850994482,-0.52517463,-0.83752804,-0.546394347
2002,12,132,36738,10.511566921,0.9202318474,-0.391373667,0.9886517447,0.1502255891
2003,1,133,35384,10.47401502,-0.21200711,0.9772681236,-0.962027672,0.2729519355
2003,2,134,32440,10.387147508,-0.675332808,-0.737513117,0.762442511,-0.647055962
2003,3,135,35265,10.47064625,0.9921147013,-0.125333234,-0.425779292,0.9048270525
2003,4,136,34854,10.458923187,-0.470703932,0.8822912264,0.0125660399,-0.999921044
2003,5,137,37057,10.520212547,-0.448383216,-0.893841424,0.4029064357,0.9152411726
2003,6,138,35212,10.469142213,0.9886517447,0.1502255891,-0.745941145,-0.666011867
2003,7,139,37108,10.521587859,-0.693653306,0.7203090249,0.9548645447,0.2970415816
2003,8,140,36644,10.509004983,-0.187381315,-0.982287251,-0.992114701,0.1253332336
2003,9,141,34697,10.454408507,0.9101059707,0.414375581,0.8509944818,-0.52517463
2003,10,142,35870,10.487656571,-0.863923417,0.5036232016,-0.556875616,0.8305958992
2003,11,143,35786,10.485312034,0.0878511966,-0.996133609,0.1626371652,-0.986685944
2003,12,144,37670,10.536619301,0.762442511,0.6470559616,0.2608415063,0.9653816388
2004,1,145,36475,10.504382373,-0.968583161,0.2486898872,-0.63742399,-0.770513243
2004,2,146,33701,10.425282789,0.3564118787,-0.934328942,0.8994052516,0.4371157667
2004,3,147,35892,10.488269708,0.5568756165,0.8305958992,-0.999684189,-0.025130095
2004,4,148,35876,10.487823827,-0.999684189,-0.025130095,0.9202318474,-0.391373667
2004,5,149,37733,10.538290322,0.5979049831,-0.801566985,-0.675332808,0.7375131174
2004,6,150,36362,10.501279552,0.3090169944,0.9510565163,0.3090169944,-0.951056516
2004,7,151,38170,10.549805146,-0.954864545,-0.297041582,0.1128563849,0.9936113105
2004,8,152,36607,10.507994758,0.7939903986,-0.607930298,-0.514439534,-0.857526656
2004,9,153,36360,10.501224548,0.0376901827,0.9992894726,0.8235325976,0.5672689491
2004,10,154,37004,10.518781294,-0.83752804,-0.546394347,-0.984564335,-0.175023059
2004,11,155,36876,10.515316212,0.9297764859,-0.368124553,0.9685831611,-0.248689887
2004,12,156,40080,10.598632736,-0.236498997,0.9716317329,-0.778462302,0.6276913613
2005,1,157,37176,10.523418671,-0.656585756,-0.754251381,0.4483832161,-0.893841424
2005,2,158,34286,10.442492387,0.994951017,-0.100361715,-0.037690183,0.9992894726
2005,3,159,38210,10.55085254,-0.492727342,0.8701837547,-0.379779096,-0.925077207
2005,4,160,36908,10.516183609,-0.425779292,-0.904827052,0.7289686274,0.6845471059
2005,5,161,38742,10.564679562,0.9845643345,0.175023059,-0.947098305,-0.32094361
2005,6,162,38219,10.551088053,-0.711535677,0.7026499698,0.994951017,-0.100361715
2005,7,163,39289,10.57869986,-0.162637165,-0.986685944,-0.863923417,0.5036232016
2005,8,164,38627,10.561706793,0.8994052516,0.4371157667,0.5775727034,-0.816339251
2005,9,165,37844,10.541227726,-0.87630668,0.4817536741,-0.187381315,0.9822872507
2005,10,166,38251,10.551924983,0.1128563849,-0.993611311,-0.236498997,-0.971631733
2005,11,167,38354,10.554614104,0.7459411454,0.6660118674,0.6178596131,0.7862884321
2005,12,168,41761,10.639718169,-0.974526873,0.2242707609,-0.888136449,-0.459579861
2006,1,169,37489,10.531802836,0.3797790955,-0.925077207,0.9987369566,0.0502443182
2006,2,170,35506,10.477456975,0.535826795,0.8443279255,-0.929776486,0.3681245527
2006,3,171,38827,10.56687116,-0.998736957,-0.050244318,0.6936533058,-0.720309025
2006,4,172,38269,10.552395448,0.6178596131,-0.786288432,-0.332819545,0.9429905359
2006,5,173,40341,10.6051236,0.2850192625,0.958521789,-0.087851197,-0.996133609
2006,6,174,39569,10.585801262,-0.947098305,-0.32094361,0.4927273415,0.8701837547
2006,7,175,40357,10.605520141,0.8090169944,-0.587785252,-0.809016994,-0.587785252
2006,8,176,40340,10.605098812,0.0125660399,0.9999210442,0.9798550524,0.1997099805
2006,9,177,38766,10.565298853,-0.823532598,-0.567268949,-0.974526873,0.2242707609
2006,10,178,39322,10.579539438,0.9387338577,-0.344642923,0.7939903986,-0.607930298
2006,11,179,39989,10.596359695,-0.260841506,0.9653816388,-0.470703932,0.8822912264
2006,12,180,42924,10.667186389,-0.63742399,-0.770513243,0.0627905195,-0.998026728
2007,1,181,39649,10.587821006,0.9971589003,-0.075326806,0.3564118787,0.9343289425
2007,2,182,37150,10.52271905,-0.514439534,0.8575266562,-0.711535677,-0.70264997
2007,3,183,40815,10.61680494,-0.402906436,-0.915241173,0.9387338577,0.3446429232
2007,4,184,39244,10.577553845,0.9798550524,0.1997099805,-0.9971589,0.0753268055
2007,5,185,42207,10.650341363,-0.728968627,0.6845471059,0.87630668,-0.481753674
2007,6,186,41279,10.628109175,-0.137790291,-0.990461426,-0.597904983,0.8015669849
2007,7,187,41619,10.636312073,0.8881364488,0.4595798606,0.2120071099,-0.977268124
2007,8,188,41896,10.642945636,-0.888136449,0.4595798606,0.2120071099,0.9772681236
2007,9,189,40191,10.601398369,0.1377902907,-0.990461426,-0.597904983,-0.801566985
2007,10,190,40924,10.619471967,0.7289686274,0.6845471059,0.87630668,0.4817536741
2007,11,191,41910,10.643279741,-0.979855052,0.1997099805,-0.9971589,-0.075326806
2007,12,192,44476,10.702704997,0.4029064357,-0.915241173,0.9387338577,-0.344642923
2008,1,193,41864,10.642181548,0.5144395338,0.8575266562,-0.711535677,0.7026499698
2008,2,194,39915,10.594507472,-0.9971589,-0.075326806,0.3564118787,-0.934328942
2008,3,195,42590,10.659374763,0.6374239897,-0.770513243,0.0627905195,0.9980267284
2008,4,196,40966,10.620497733,0.2608415063,0.9653816388,-0.470703932,-0.882291226
2008,5,197,44549,10.704344986,-0.938733858,-0.344642923,0.7939903986,0.6079302977
2008,6,198,42299,10.652518724,0.8235325976,-0.567268949,-0.974526873,-0.224270761
2008,7,199,44057,10.693239529,-0.01256604,0.9999210442,0.9798550524,-0.199709981
2008,8,200,44010,10.69217216,-0.809016994,-0.587785252,-0.809016994,0.5877852523
2008,9,201,41378,10.630504618,0.947098305,-0.32094361,0.4927273415,-0.870183755
2008,10,202,42811,10.664550358,-0.285019262,0.958521789,-0.087851197,0.9961336091
2008,11,203,42751,10.663147866,-0.617859613,-0.786288432,-0.332819545,-0.942990536
2008,12,204,44032,10.692671921,0.9987369566,-0.050244318,0.6936533058,0.7203090249
2009,1,205,42942,10.667605647,-0.535826795,0.8443279255,-0.929776486,-0.368124553
2009,2,206,38522,10.558984786,-0.379779096,-0.925077207,0.9987369566,-0.050244318
2009,3,207,41312,10.628908294,0.9745268728,0.2242707609,-0.888136449,0.4595798606
2009,4,208,41781,10.64019697,-0.745941145,0.6660118674,0.6178596131,-0.786288432
2009,5,209,44034,10.692717342,-0.112856385,-0.993611311,-0.236498997,0.9716317329
2009,6,210,42147,10.648918787,0.87630668,0.4817536741,-0.187381315,-0.982287251
2009,7,211,43839,10.688279111,-0.899405252,0.4371157667,0.5775727034,0.8163392507
2009,8,212,42995,10.668839109,0.1626371652,-0.986685944,-0.863923417,-0.503623202
2009,9,213,41538,10.63436395,0.7115356772,0.7026499698,0.994951017,0.1003617149
2009,10,214,43020,10.669420403,-0.984564335,0.175023059,-0.947098305,0.3209436098
2009,11,215,42508,10.657447572,0.4257792916,-0.904827052,0.7289686274,-0.684547106
2009,12,216,45395,10.723157246,0.4927273415,0.8701837547,-0.379779096,0.9250772068
2010,1,217,42985,10.668606497,-0.994951017,-0.100361715,-0.037690183,-0.999289473
2010,2,218,40061,10.598158571,0.6565857558,-0.754251381,0.4483832161,0.8938414242
2010,3,219,43434,10.678997824,0.236498997,0.9716317329,-0.778462302,-0.627691361
2010,4,220,42236,10.651028217,-0.929776486,-0.368124553,0.9685831611,0.2486898872
2010,5,221,44607,10.705646076,0.83752804,-0.546394347,-0.984564335,0.175023059
2010,6,222,42877,10.666090831,-0.037690183,0.9992894726,0.8235325976,-0.567268949
2010,7,223,44559,10.704569433,-0.793990399,-0.607930298,-0.514439534,0.8575266562
2010,8,224,43431,10.678928751,0.9548645447,-0.297041582,0.1128563849,-0.993611311
2010,9,225,42642,10.660594962,-0.309016994,0.9510565163,0.3090169944,0.9510565163
2010,10,226,43536,10.681343461,-0.597904983,-0.801566985,-0.675332808,-0.737513117
2010,11,227,43724,10.685652429,0.9996841893,-0.025130095,0.9202318474,0.3913736668
2010,12,228,46658,10.750599681,-0.556875616,0.8305958992,-0.999684189,0.0251300954
2011,1,229,44282,10.698333553,-0.356411879,-0.934328942,0.8994052516,-0.437115767
2011,2,230,41229,10.626897171,0.9685831611,0.2486898872,-0.63742399,0.7705132428
2011,3,231,45068,10.715927739,-0.762442511,0.6470559616,0.2608415063,-0.965381639
2011,4,232,45586,10.727355931,-0.087851197,-0.996133609,0.1626371652,0.9866859442
2011,5,233,46318,10.743285933,0.8639234172,0.5036232016,-0.556875616,-0.830595899
2011,6,234,45883,10.733849957,-0.910105971,0.414375581,0.8509944818,0.52517463
2011,7,235,47171,10.761534576,0.1873813146,-0.982287251,-0.992114701,-0.125333234
2011,8,236,46448,10.746088686,0.6936533058,0.7203090249,0.9548645447,-0.297041582
2011,9,237,44877,10.711680693,-0.988651745,0.1502255891,-0.745941145,0.6660118674
2011,10,238,45725,10.730400473,0.4483832161,-0.893841424,0.4029064357,-0.915241173
2011,11,239,46046,10.737396176,0.4707039322,0.8822912264,0.0125660399,0.9999210442
2011,12,240,48843,10.796366351,-0.992114701,-0.125333234,-0.425779292,-0.904827052
2012,1,241,45462,10.724632091,0.6753328081,-0.737513117,0.762442511,0.6470559616
2012,2,242,44174,10.69589166,0.2120071099,0.9772681236,-0.962027672,-0.272951936
2012,3,243,47408,10.76654627,-0.920231847,-0.391373667,0.9886517447,-0.150225589
2012,4,244,45754,10.731034499,0.8509944818,-0.52517463,-0.83752804,0.5463943467
2012,5,245,48420,10.78766823,-0.06279052,0.9980267284,0.535826795,-0.844327926
2012,6,246,47217,10.762509276,-0.778462302,-0.627691361,-0.137790291,0.9904614257
2012,7,247,47473,10.767916407,0.9620276716,-0.272951936,-0.285019262,-0.958521789
2012,8,248,48047,10.779934977,-0.332819545,0.9429905359,0.6565857558,0.7542513807
2012,9,249,46047,10.737417893,-0.577572703,-0.816339251,-0.910105971,-0.414375581
2012,10,250,46975,10.757370824,1,-5.6836e-14,1,-5.48741e-14
2012,11,251,47310,10.764476969,-0.577572703,0.8163392507,-0.910105971,0.414375581
2012,12,252,49358,10.806855139,-0.332819545,-0.942990536,0.6565857558,-0.754251381
2013,1,253,47095,10.759922117,0.9620276716,0.2729519355,-0.285019262,0.958521789
2013,2,254,43863,10.688826419,-0.778462302,0.6276913613,-0.137790291,-0.990461426
2013,3,255,48910,10.797737154,-0.06279052,-0.998026728,0.535826795,0.8443279255
2013,4,256,45367,10.722540247,0.8509944818,0.52517463,-0.83752804,-0.546394347
2013,5,257,49615,10.812048486,-0.920231847,0.3913736668,0.9886517447,0.1502255891
2013,6,258,47840,10.775617389,0.2120071099,-0.977268124,-0.962027672,0.2729519355
2013,7,259,48871,10.796939453,0.6753328081,0.7375131174,0.762442511,-0.647055962
2013,8,260,49387,10.807442511,-0.992114701,0.1253332336,-0.425779292,0.9048270525
2013,9,261,46601,10.749377279,0.4707039322,-0.882291226,0.0125660399,-0.999921044
2013,10,262,48396,10.787172445,0.4483832161,0.8938414242,0.4029064357,0.9152411726
2013,11,263,49026,10.800106049,-0.988651745,-0.150225589,-0.745941145,-0.666011867
2013,12,264,50505,10.82982762,0.6936533058,-0.720309025,0.9548645447,0.2970415816
2014,1,265,49275,10.805172132,0.1873813146,0.9822872507,-0.992114701,0.1253332336
2014,2,266,45225,10.71940531,-0.910105971,-0.414375581,0.8509944818,-0.52517463
2014,3,267,49148,10.802591433,0.8639234172,-0.503623202,-0.556875616,0.8305958992
2014,4,268,48847,10.796448243,-0.087851197,0.9961336091,0.1626371652,-0.986685944
2014,5,269,51911,10.857285993,-0.762442511,-0.647055962,0.2608415063,0.9653816388
2014,6,270,49596,10.811665464,0.9685831611,-0.248689887,-0.63742399,-0.770513243
2014,7,271,51528,10.849880628,-0.356411879,0.9343289425,0.8994052516,0.4371157667
2014,8,272,51466,10.848676674,-0.556875616,-0.830595899,-0.999684189,-0.025130095
2014,9,273,49003,10.7996368,0.9996841893,0.0251300954,0.9202318474,-0.391373667
2014,10,274,51196,10.843416683,-0.597904983,0.8015669849,-0.675332808,0.7375131174
2014,11,275,51168,10.842869616,-0.309016994,-0.951056516,0.3090169944,-0.951056516
2014,12,276,53135,10.880591124,0.9548645447,0.2970415816,0.1128563849,0.9936113105
2015,1,277,51643,10.852109938,-0.793990399,0.6079302977,-0.514439534,-0.857526656
2015,2,278,47164,10.761386169,-0.037690183,-0.999289473,0.8235325976,0.5672689491
2015,3,279,51221,10.843904883,0.83752804,0.5463943467,-0.984564335,-0.175023059
2015,4,280,50112,10.822015779,-0.929776486,0.3681245527,0.9685831611,-0.248689887
2015,5,281,53188,10.881588086,0.236498997,-0.971631733,-0.778462302,0.6276913613
2015,6,282,50889,10.837402069,0.6565857558,0.7542513807,0.4483832161,-0.893841424
2015,7,283,53017,10.878367896,-0.994951017,0.1003617149,-0.037690183,0.9992894726
2015,8,284,51991,10.858825906,0.4927273415,-0.870183755,-0.379779096,-0.925077207
2015,9,285,50083,10.821436908,0.4257792916,0.9048270525,0.7289686274,0.6845471059
2015,10,286,51795,10.855048898,-0.984564335,-0.175023059,-0.947098305,-0.32094361
2015,11,287,51135,10.842224473,0.7115356772,-0.70264997,0.994951017,-0.100361715
2015,12,288,53848,10.893920542,0.1626371652,0.9866859442,-0.863923417,0.5036232016
2016,1,289,51810,10.85533846,-0.899405252,-0.437115767,0.5775727034,-0.816339251
2016,2,290,48747,10.794398936,0.87630668,-0.481753674,-0.187381315,0.9822872507
2016,3,291,52254,10.863871722,-0.112856385,0.9936113105,-0.236498997,-0.971631733
2016,4,292,50543,10.830579738,-0.745941145,-0.666011867,0.6178596131,0.7862884321
2016,5,293,53053,10.879046693,0.9745268728,-0.224270761,-0.888136449,-0.459579861
2016,6,294,52332,10.865363318,-0.379779096,0.9250772068,0.9987369566,0.0502443182
2016,7,295,53382,10.885228889,-0.535826795,-0.844327926,-0.929776486,0.3681245527
2016,8,296,52474,10.868073088,0.9987369566,0.0502443182,0.6936533058,-0.720309025
2016,9,297,51405,10.847490723,-0.617859613,0.7862884321,-0.332819545,0.9429905359
2016,10,298,52655,10.87151648,-0.285019262,-0.958521789,-0.087851197,-0.996133609
2016,11,299,52772,10.873736026,0.947098305,0.3209436098,0.4927273415,0.8701837547
2016,12,300,56444,10.941004275,-0.809016994,0.5877852523,-0.809016994,-0.587785252
2017,1,301,52552,10.869558435,-0.01256604,-0.999921044,0.9798550524,0.1997099805
2017,2,302,49212,10.803892775,0.8235325976,0.5672689491,-0.974526873,0.2242707609
2017,3,303,54366,10.903494237,-0.938733858,0.3446429232,0.7939903986,-0.607930298
2017,4,304,53635,10.889957119,0.2608415063,-0.965381639,-0.470703932,0.8822912264
2017,5,305,55709,10.927896993,0.6374239897,0.7705132428,0.0627905195,-0.998026728
2017,6,306,54191,10.900270122,-0.9971589,0.0753268055,0.3564118787,0.9343289425
2017,7,307,55159,10.917975203,0.5144395338,-0.857526656,-0.711535677,-0.70264997
2017,8,308,55083,10.916596418,0.4029064357,0.9152411726,0.9387338577,0.3446429232
2017,9,309,54142,10.899365504,-0.979855052,-0.199709981,-0.9971589,0.0753268055
2017,10,310,54561,10.907074621,0.7289686274,-0.684547106,0.87630668,-0.481753674
2017,11,311,55443,10.923110745,0.1377902907,0.9904614257,-0.597904983,0.8015669849
2017,12,312,59125,10.987409126,-0.888136449,-0.459579861,0.2120071099,-0.977268124
2018,1,313,54910,10.91345076,0.8881364488,-0.459579861,0.2120071099,0.9772681236
2018,2,314,50967,10.838933643,-0.137790291,0.9904614257,-0.597904983,-0.801566985
2018,3,315,57356,10.957032738,-0.728968627,-0.684547106,0.87630668,0.4817536741
2018,4,316,53647,10.890180829,0.9798550524,-0.199709981,-0.9971589,-0.075326806
2018,5,317,57855,10.965695159,-0.402906436,0.9152411726,0.9387338577,-0.344642923
2018,6,318,56107,10.935015861,-0.514439534,-0.857526656,-0.711535677,0.7026499698
