Date,Year,Weekday,Travelers,logTravelers,Time
6/24/2019,2019,2,2716428,14.81482834,116
6/25/2019,2019,3,2506510,14.734401905,117
6/26/2019,2019,4,2594661,14.76896643,118
6/27/2019,2019,5,2711222,14.812910014,119
6/28/2019,2019,6,2730515,14.820000794,120
6/29/2019,2019,7,2368846,14.677913475,121
6/30/2019,2019,1,2632030,14.78326597,122
7/1/2019,2019,2,2455536,14.713855625,123
7/2/2019,2019,3,2347767,14.668975222,124
7/3/2019,2019,4,2547889,14.750775731,125
7/4/2019,2019,5,2088760,14.552081146,126
7/5/2019,2019,6,2184253,14.596784452,127
7/6/2019,2019,7,2345846,14.668156662,128
7/7/2019,2019,1,2795369,14.843474677,129
7/8/2019,2019,2,2748718,14.826645179,130
7/9/2019,2019,3,2506859,14.734541133,131
7/10/2019,2019,4,2515902,14.738141945,132
7/11/2019,2019,5,2608209,14.774174337,133
7/12/2019,2019,6,2716812,14.814969692,134
7/13/2019,2019,7,2312178,14.653700495,135
7/14/2019,2019,1,2669717,14.797483032,136
7/15/2019,2019,2,2615115,14.776818632,137
7/16/2019,2019,3,2447177,14.710445673,138
7/17/2019,2019,4,2522563,14.740786006,139
7/18/2019,2019,5,2716828,14.814975581,140
7/19/2019,2019,6,2776960,14.836867362,141
7/20/2019,2019,7,2396462,14.689504041,142
7/21/2019,2019,1,2727355,14.818842833,143
7/22/2019,2019,2,2635312,14.784512139,144
7/23/2019,2019,3,2499460,14.731585267,145
7/24/2019,2019,4,2561911,14.756264022,146
7/25/2019,2019,5,2705399,14.810759964,147
7/26/2019,2019,6,2732770,14.820826305,148
7/27/2019,2019,7,2364925,14.676256867,149
7/28/2019,2019,1,2700723,14.809030073,150
7/29/2019,2019,2,2613346,14.776141951,151
7/30/2019,2019,3,2438967,14.707085147,152
7/31/2019,2019,4,2542365,14.748605308,153
8/1/2019,2019,5,2742882,14.82451975,154
8/2/2019,2019,6,2730936,14.820154966,155
8/3/2019,2019,7,2367967,14.677542339,156
8/4/2019,2019,1,2688640,14.804546048,157
8/5/2019,2019,2,2619406,14.778458132,158
8/6/2019,2019,3,2387115,14.685596082,159
8/7/2019,2019,4,2430094,14.703440498,160
8/8/2019,2019,5,2707986,14.811715743,161
8/9/2019,2019,6,2725000,14.817978986,162
8/10/2019,2019,7,2290340,14.644210836,163
8/11/2019,2019,1,2647897,14.789276298,164
8/12/2019,2019,2,2567986,14.758632492,165
8/13/2019,2019,3,2306829,14.651384412,166
8/14/2019,2019,4,2391906,14.687601096,167
8/15/2019,2019,5,2602446,14.77196233,168
8/16/2019,2019,6,2627564,14.781567739,169
8/17/2019,2019,7,2171962,14.591141464,170
8/18/2019,2019,1,2584444,14.765020956,171
8/19/2019,2019,2,2576965,14.762122908,172
8/20/2019,2019,3,2247446,14.625305018,173
8/21/2019,2019,4,2306838,14.651388314,174
8/22/2019,2019,5,2533184,14.744987567,175
8/23/2019,2019,6,2559244,14.75522246,176
8/24/2019,2019,7,2039233,14.528084315,177
8/25/2019,2019,1,2493162,14.729062342,178
8/26/2019,2019,2,2358007,14.673327329,179
8/27/2019,2019,3,2015088,14.516173425,180
