Year,Month,Sales,logSales,c348,s348,c432,s432,Dynamic
1994,5,2638,7.8777763333,0.83752804,0.5463943467,-0.984564335,-0.175023059,0
1994,6,2769,7.9262415232,-0.929776486,0.3681245527,0.9685831611,-0.248689887,0
1994,7,2774,7.9280456009,0.236498997,-0.971631733,-0.778462302,0.6276913613,0
1994,8,3119,8.0452677166,0.6565857558,0.7542513807,0.4483832161,-0.893841424,0
1994,9,2887,7.9679731797,-0.994951017,0.1003617149,-0.037690183,0.9992894726,0
1994,10,3136,8.0507033815,0.4927273415,-0.870183755,-0.379779096,-0.925077207,0
1994,11,2564,7.849323818,0.4257792916,0.9048270525,0.7289686274,0.6845471059,0
1994,12,2470,7.8119734296,-0.984564335,-0.175023059,-0.947098305,-0.32094361,0
1995,1,2709,7.9043348421,0.7115356772,-0.70264997,0.994951017,-0.100361715,0
1995,2,2833,7.9490914998,0.1626371652,0.9866859442,-0.863923417,0.5036232016,0
1995,3,3296,8.100464891,-0.899405252,-0.437115767,0.5775727034,-0.816339251,0
1995,4,2998,8.0057006787,0.87630668,-0.481753674,-0.187381315,0.9822872507,0
1995,5,3180,8.0646364758,-0.112856385,0.9936113105,-0.236498997,-0.971631733,0
1995,6,3303,8.1025864254,-0.745941145,-0.666011867,0.6178596131,0.7862884321,0
1995,7,3492,8.158229917,0.9745268728,-0.224270761,-0.888136449,-0.459579861,0
1995,8,3445,8.1446791834,-0.379779096,0.9250772068,0.9987369566,0.0502443182,0
1995,9,3223,8.0780678818,-0.535826795,-0.844327926,-0.929776486,0.3681245527,0
1995,10,3074,8.0307349241,0.9987369566,0.0502443182,0.6936533058,-0.720309025,0
1995,11,2931,7.9830989407,-0.617859613,0.7862884321,-0.332819545,0.9429905359,0
1995,12,2558,7.8469809821,-0.285019262,-0.958521789,-0.087851197,-0.996133609,0
1996,1,2871,7.9624156801,0.947098305,0.3209436098,0.4927273415,0.8701837547,0
1996,2,3451,8.1464193231,-0.809016994,0.5877852523,-0.809016994,-0.587785252,0
1996,3,4046,8.3054840177,-0.01256604,-0.999921044,0.9798550524,0.1997099805,0
1996,4,3879,8.2633326674,0.8235325976,0.5672689491,-0.974526873,0.2242707609,0
1996,5,3727,8.2233588995,-0.938733858,0.3446429232,0.7939903986,-0.607930298,0
