sales,time,month,logsales,obs96,c1,s1,c2,s2,c3,s3,c4,s4,c5,s5,c6,wtgrant
553,46,10,6.315358,0,0.5,-0.86603,-0.5,-0.86603,-1,6.37e-15,-0.5,0.866025,0.5,0.866025,1,0
621,47,11,6.43133108,0,0.866025,-0.5,0.5,-0.86603,2.45e-15,-1,-0.5,-0.86603,-0.86603,-0.5,-1,0
1122,48,12,7.02286809,0,1,-9.8e-16,1,-2e-15,1,-2.9e-15,1,-3.9e-15,1,-4.9e-15,1,0
394,49,1,5.97635091,0,0.866025,0.5,0.5,0.866025,8.33e-15,1,-0.5,0.866025,-0.86603,0.5,-1,0
411,50,2,6.01859321,0,0.5,0.866025,-0.5,0.866025,-1,-4.9e-16,-0.5,-0.86603,0.5,-0.86603,1,0
482,51,3,6.17794411,0,2.82e-15,1,-1,5.63e-15,-4.9e-15,-1,1,-1.1e-14,3.43e-15,1,-1,0
484,52,4,6.18208491,0,-0.5,0.866025,-0.5,-0.86603,1,3.92e-15,-0.5,0.866025,-0.5,-0.86603,1,0
550,53,5,6.30991828,0,-0.86603,0.5,0.5,-0.86603,1.47e-15,1,-0.5,-0.86603,0.866025,0.5,-1,0
525,54,6,6.26339826,0,-1,1.1e-15,1,-2.2e-15,-1,6.86e-15,1,-4.4e-15,-1,1.96e-15,1,0
494,55,7,6.20253552,0,-0.86603,-0.5,0.5,0.866025,1.96e-15,-1,-0.5,0.866025,0.866025,-0.5,-1,0
537,56,8,6.28599809,0,-0.5,-0.86603,-0.5,0.866025,1,-3.4e-15,-0.5,-0.86603,-0.5,0.866025,1,0
513,57,9,6.24027585,0,-2.9e-15,-1,-1,5.88e-15,8.82e-15,1,1,-1.2e-14,-4.9e-16,-1,-1,0
521,58,10,6.25575004,0,0.5,-0.86603,-0.5,-0.86603,-1,-1.4e-18,-0.5,0.866025,0.5,0.866025,1,0
596,59,11,6.39024067,0,0.866025,-0.5,0.5,-0.86603,-5.4e-15,-1,-0.5,-0.86603,-0.86603,-0.5,-1,0
